fecha,periodo,naturaleza_finca,tipo_interes,tipo_hipotecario
2012-03-01,2012M03,Viviendas,Total,4.13
2012-03-01,2012M03,Viviendas,Variable,4.09
2012-04-01,2012M04,Total fincas,Fijo,4.9
2012-04-01,2012M04,Total fincas,Total,4.19
2012-04-01,2012M04,Total fincas,Variable,4.11
2012-04-01,2012M04,Viviendas,Fijo,5.5
2012-04-01,2012M04,Viviendas,Total,4.16
2012-04-01,2012M04,Viviendas,Variable,4.11
2012-05-01,2012M05,Total fincas,Fijo,4.9
2012-05-01,2012M05,Total fincas,Total,4.11
2012-05-01,2012M05,Total fincas,Variable,4.06
2012-05-01,2012M05,Viviendas,Fijo,5.33
2012-05-01,2012M05,Viviendas,Total,4.07
2012-05-01,2012M05,Viviendas,Variable,4.03
2012-06-01,2012M06,Total fincas,Fijo,4.98
2012-06-01,2012M06,Total fincas,Total,4.13
2012-06-01,2012M06,Total fincas,Variable,4.06
2012-06-01,2012M06,Viviendas,Fijo,5.4
2012-06-01,2012M06,Viviendas,Total,4.17
2012-06-01,2012M06,Viviendas,Variable,4.12
2012-07-01,2012M07,Total fincas,Fijo,5.02
2012-07-01,2012M07,Total fincas,Total,4.11
2012-07-01,2012M07,Total fincas,Variable,4.04
2012-07-01,2012M07,Viviendas,Fijo,5.3
2012-07-01,2012M07,Viviendas,Total,4.08
2012-07-01,2012M07,Viviendas,Variable,4.03
2012-08-01,2012M08,Total fincas,Fijo,5.09
2012-08-01,2012M08,Total fincas,Total,4.02
2012-08-01,2012M08,Total fincas,Variable,3.96
2012-08-01,2012M08,Viviendas,Fijo,5.04
2012-08-01,2012M08,Viviendas,Total,4.08
2012-08-01,2012M08,Viviendas,Variable,4.05
2012-09-01,2012M09,Total fincas,Fijo,4.78
2012-09-01,2012M09,Total fincas,Total,4.04
2012-09-01,2012M09,Total fincas,Variable,3.99
2012-09-01,2012M09,Viviendas,Fijo,4.52
2012-09-01,2012M09,Viviendas,Total,3.99
2012-09-01,2012M09,Viviendas,Variable,3.97
2012-10-01,2012M10,Total fincas,Fijo,5.72
2012-10-01,2012M10,Total fincas,Total,4.1
2012-10-01,2012M10,Total fincas,Variable,4.0
2012-10-01,2012M10,Viviendas,Fijo,5.61
2012-10-01,2012M10,Viviendas,Total,4.14
2012-10-01,2012M10,Viviendas,Variable,4.08
2012-11-01,2012M11,Total fincas,Fijo,5.38
2012-11-01,2012M11,Total fincas,Total,4.14
2012-11-01,2012M11,Total fincas,Variable,4.06
2012-11-01,2012M11,Viviendas,Fijo,5.75
2012-11-01,2012M11,Viviendas,Total,4.22
2012-11-01,2012M11,Viviendas,Variable,4.16
2012-12-01,2012M12,Total fincas,Fijo,5.75
2012-12-01,2012M12,Total fincas,Total,4.2
2012-12-01,2012M12,Total fincas,Variable,4.1
2012-12-01,2012M12,Viviendas,Fijo,5.75
2012-12-01,2012M12,Viviendas,Total,4.42
2012-12-01,2012M12,Viviendas,Variable,4.37
2013-01-01,2013M01,Total fincas,Fijo,5.58
2013-01-01,2013M01,Total fincas,Total,4.06
2013-01-01,2013M01,Total fincas,Variable,3.95
2013-01-01,2013M01,Viviendas,Fijo,5.53
2013-01-01,2013M01,Viviendas,Total,4.08
2013-01-01,2013M01,Viviendas,Variable,4.03
2013-02-01,2013M02,Total fincas,Fijo,5.36
2013-02-01,2013M02,Total fincas,Total,4.14
2013-02-01,2013M02,Total fincas,Variable,4.03
2013-02-01,2013M02,Viviendas,Fijo,5.1
2013-02-01,2013M02,Viviendas,Total,4.1
2013-02-01,2013M02,Viviendas,Variable,4.05
2013-03-01,2013M03,Total fincas,Fijo,5.76
2013-03-01,2013M03,Total fincas,Total,4.17
2013-03-01,2013M03,Total fincas,Variable,4.06
2013-03-01,2013M03,Viviendas,Fijo,5.85
2013-03-01,2013M03,Viviendas,Total,4.27
2013-03-01,2013M03,Viviendas,Variable,4.21
2013-04-01,2013M04,Total fincas,Fijo,5.88
2013-04-01,2013M04,Total fincas,Total,4.2
2013-04-01,2013M04,Total fincas,Variable,4.08
2013-04-01,2013M04,Viviendas,Fijo,6.14
2013-04-01,2013M04,Viviendas,Total,4.26
2013-04-01,2013M04,Viviendas,Variable,4.18
2013-05-01,2013M05,Total fincas,Fijo,5.67
2013-05-01,2013M05,Total fincas,Total,3.84
2013-05-01,2013M05,Total fincas,Variable,3.7
2013-05-01,2013M05,Viviendas,Fijo,5.82
2013-05-01,2013M05,Viviendas,Total,4.34
2013-05-01,2013M05,Viviendas,Variable,4.28
2013-06-01,2013M06,Total fincas,Fijo,5.62
2013-06-01,2013M06,Total fincas,Total,4.17
2013-06-01,2013M06,Total fincas,Variable,4.05
2013-06-01,2013M06,Viviendas,Fijo,5.68
2013-06-01,2013M06,Viviendas,Total,4.25
2013-06-01,2013M06,Viviendas,Variable,4.18
2013-07-01,2013M07,Total fincas,Fijo,5.36
2013-07-01,2013M07,Total fincas,Total,4.01
2013-07-01,2013M07,Total fincas,Variable,3.9
2013-07-01,2013M07,Viviendas,Fijo,5.52
2013-07-01,2013M07,Viviendas,Total,4.26
2013-07-01,2013M07,Viviendas,Variable,4.2
2013-08-01,2013M08,Total fincas,Fijo,5.61
2013-08-01,2013M08,Total fincas,Total,4.05
2013-08-01,2013M08,Total fincas,Variable,3.9
2013-08-01,2013M08,Viviendas,Fijo,5.97
2013-08-01,2013M08,Viviendas,Total,4.3
2013-08-01,2013M08,Viviendas,Variable,4.2
2013-09-01,2013M09,Total fincas,Fijo,5.41
2013-09-01,2013M09,Total fincas,Total,4.17
2013-09-01,2013M09,Total fincas,Variable,4.03
2013-09-01,2013M09,Viviendas,Fijo,5.38
2013-09-01,2013M09,Viviendas,Total,4.15
2013-09-01,2013M09,Viviendas,Variable,4.08
2013-10-01,2013M10,Total fincas,Fijo,5.42
2013-10-01,2013M10,Total fincas,Total,4.05
2013-10-01,2013M10,Total fincas,Variable,3.92
2013-10-01,2013M10,Viviendas,Fijo,5.82
2013-10-01,2013M10,Viviendas,Total,4.18
2013-10-01,2013M10,Viviendas,Variable,4.1
2013-11-01,2013M11,Total fincas,Fijo,5.65
2013-11-01,2013M11,Total fincas,Total,4.26
2013-11-01,2013M11,Total fincas,Variable,4.16
2013-11-01,2013M11,Viviendas,Fijo,6.05
2013-11-01,2013M11,Viviendas,Total,4.27
2013-11-01,2013M11,Viviendas,Variable,4.19
2013-12-01,2013M12,Total fincas,Fijo,5.52
2013-12-01,2013M12,Total fincas,Total,4.13
2013-12-01,2013M12,Total fincas,Variable,3.99
2013-12-01,2013M12,Viviendas,Fijo,5.52
2013-12-01,2013M12,Viviendas,Total,4.21
2013-12-01,2013M12,Viviendas,Variable,4.14
2014-01-01,2014M01,Total fincas,Fijo,5.41
2014-01-01,2014M01,Total fincas,Total,3.84
2014-01-01,2014M01,Total fincas,Variable,3.69
2014-01-01,2014M01,Viviendas,Fijo,5.9
2014-01-01,2014M01,Viviendas,Total,4.13
2014-01-01,2014M01,Viviendas,Variable,4.05
2014-02-01,2014M02,Total fincas,Fijo,5.46
2014-02-01,2014M02,Total fincas,Total,4.0
2014-02-01,2014M02,Total fincas,Variable,3.89
2014-02-01,2014M02,Viviendas,Fijo,5.6
2014-02-01,2014M02,Viviendas,Total,4.12
2014-02-01,2014M02,Viviendas,Variable,4.05
2014-03-01,2014M03,Total fincas,Fijo,5.39
2014-03-01,2014M03,Total fincas,Total,3.95
2014-03-01,2014M03,Total fincas,Variable,3.83
2014-03-01,2014M03,Viviendas,Fijo,5.67
2014-03-01,2014M03,Viviendas,Total,4.04
