origin_date,horizon_months,target_date,model,forecast,lower_80,upper_80,lower_95,upper_95,observed,error,abs_error,squared_error,covered_80,covered_95
2022-11-01,1,2022-12-01,naive,2.56,2.4206945160334694,2.6993054839665307,2.3469506473527697,2.7730493526472304,2.66,0.10000000000000009,0.10000000000000009,0.010000000000000018,True,True
2022-11-01,3,2023-02-01,naive,2.56,2.3187158239969974,2.8012841760030027,2.1909876966953377,2.9290123033046624,2.86,0.2999999999999998,0.2999999999999998,0.0899999999999999,False,True
2022-11-01,6,2023-05-01,naive,2.56,2.218772645910537,2.901227354089463,2.038137795984013,3.0818622040159873,3.15,0.5899999999999999,0.5899999999999999,0.34809999999999985,False,False
2022-11-01,1,2022-12-01,ets,2.454919137354956,2.333067275429932,2.5767709992799803,2.26856279614858,2.641275478561332,2.66,0.205080862645044,0.205080862645044,0.0420581602232354,False,False
2022-11-01,3,2023-02-01,ets,2.6125091891064254,2.43614425287414,2.788874125338711,2.3427822952033392,2.8822360830095115,2.86,0.2474908108935745,0.2474908108935745,0.061251701476759055,False,True
2022-11-01,6,2023-05-01,ets,2.7663629213720093,2.4934658919608346,3.039259950783184,2.3490029309399616,3.183722911804057,3.15,0.38363707862799057,0.38363707862799057,0.14717740809821903,False,True
2022-11-01,1,2022-12-01,arima,2.458606830181314,2.3371581645626818,2.580055495799946,2.2728671245130423,2.6443465358495857,2.66,0.20139316981868616,0.20139316981868616,0.04055920884961816,False,False
2022-11-01,3,2023-02-01,arima,2.611581285700627,2.4360024302322687,2.787160141168985,2.3430565985816134,2.8801059728196403,2.86,0.248418714299373,0.248418714299373,0.061711857614153515,False,True
2022-11-01,6,2023-05-01,arima,2.7361978980533563,2.4694335388328956,3.002962257273817,2.328217017308365,3.1441787787983477,3.15,0.4138021019466436,0.4138021019466436,0.1712321795754604,False,False
2022-11-01,1,2022-12-01,arimax_euribor,2.4876194121884563,2.362075016594055,2.6131638077828576,2.2956158280632164,2.679622996313696,2.66,0.17238058781154386,0.17238058781154386,0.029715067054253384,False,True
2022-11-01,3,2023-02-01,arimax_euribor,2.5781563524413773,2.3851871054691847,2.77112559941357,2.28303535664392,2.8732773482388345,2.86,0.28184364755862257,0.28184364755862257,0.07943584166914905,False,True
2022-11-01,6,2023-05-01,arimax_euribor,2.603595803171395,2.333629442960648,2.873562163382142,2.190717884501319,3.016473721841471,3.15,0.5464041968286049,0.5464041968286049,0.2985575463119128,False,False
2022-12-01,1,2023-01-01,naive,2.66,2.5206300271813893,2.799369972818611,2.4468520201645396,2.8731479798354607,2.64,-0.020000000000000018,0.020000000000000018,0.0004000000000000007,True,True
2022-12-01,3,2023-03-01,naive,2.66,2.418604126028673,2.9013958739713273,2.290816869394316,3.0291831306056842,2.98,0.31999999999999984,0.31999999999999984,0.1023999999999999,False,True
2022-12-01,6,2023-06-01,naive,2.66,2.318614681128843,3.0013853188711574,2.1378962096980842,3.182103790301916,3.17,0.5099999999999998,0.5099999999999998,0.2600999999999998,False,True
2022-12-01,1,2023-01-01,ets,2.704602536905901,2.581704042825644,2.827501030986158,2.516645509949166,2.892559563862636,2.64,-0.0646025369059009,0.0646025369059009,0.004173487774678288,True,True
2022-12-01,3,2023-03-01,ets,2.8848787617264797,2.6976273092356933,3.072130214217266,2.5985023779726246,3.171255145480335,2.98,0.09512123827352026,0.09512123827352026,0.009048049970687816,True,True
2022-12-01,6,2023-06-01,ets,3.064498990101589,2.768093581233499,3.360904398969679,2.6111860358487875,3.5178119443543907,3.17,0.10550100989841082,0.10550100989841082,0.01113046308958458,True,True
2022-12-01,1,2023-01-01,arima,2.7079934699314445,2.585441598728303,2.8305453411345862,2.5205665569191096,2.8954203829437795,2.64,-0.0679934699314444,0.0679934699314444,0.0046231119533182334,True,True
2022-12-01,3,2023-03-01,arima,2.8750372502746795,2.6886340859315916,3.0614404146177674,2.5899582112884496,3.1601162892609094,2.98,0.10496274972532049,0.10496274972532049,0.011017178829900267,True,True
2022-12-01,6,2023-06-01,arima,3.0137736516145543,2.7249436589775096,3.302603644251599,2.5720462967086193,3.4555010065204894,3.17,0.15622634838544558,0.15622634838544558,0.024406671929850614,True,True
2022-12-01,1,2023-01-01,arimax_euribor,2.684698879886028,2.56252738412279,2.8068703756492663,2.497853700908326,2.87154405886373,2.64,-0.04469887988602794,0.04469887988602794,0.0019979898630655534,True,True
2022-12-01,3,2023-03-01,arimax_euribor,2.791322886853938,2.6093177532585834,2.9733280204492925,2.5129700554587338,3.069675718249142,2.98,0.18867711314606206,0.18867711314606206,0.0355990530251319,False,True
2022-12-01,6,2023-06-01,arimax_euribor,2.88499122521819,2.6219402413956305,3.14804220904075,2.482689462065217,3.2872929883711635,3.17,0.28500877478180975,0.28500877478180975,0.08123000170262835,False,True
